AŃO,MES,CCAA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2019,7,Castilla y León,Europa,República Checa,5530,27620,5.0
2019,7,Castilla y León,Europa,República Eslovaca,3760,17850,4.7
2019,7,Castilla y León,Europa,Rumanía,29580,192200,6.5
2019,7,Castilla y León,Europa,Rusia,3590,18120,5.0
2019,7,Castilla y León,Europa,Serbia,1070,4270,4.0
2019,7,Castilla y León,Europa,Suecia,97820,587600,6.0
2019,7,Castilla y León,Europa,Suiza,51410,166140,3.2
2019,7,Castilla y León,Europa,Turquía,1950,10860,5.6
2019,7,Castilla y León,Europa,Ucrania,8010,32900,4.1
2019,7,Castilla y León,Oceanía,Australia,3470,22780,6.6
2019,7,Castilla y León,Oceanía,Nueva Zelanda,1100,7930,7.2
2019,7,Castilla y León,África,Angola,360,1780,4.9
2019,7,Castilla y León,África,Argelia,1030,5460,5.3
2019,7,Castilla y León,África,Costa de Marfil,390,2580,6.6
2019,7,Castilla y León,África,Egipto,550,3360,6.1
2019,7,Castilla y León,África,Guinea Ecuatorial,560,4830,8.6
2019,7,Castilla y León,África,Kenia,320,2080,6.5
2019,7,Castilla y León,África,Mali,420,3010,7.2
2019,7,Castilla y León,África,Marruecos,25140,89680,3.6
2019,7,Castilla y León,África,Mozambique,300,880,2.9
2019,7,Castilla y León,África,Nigeria,350,3190,9.1
2019,7,Castilla y León,África,Senegal,470,2750,5.9
2019,7,Castilla y León,África,Sudáfrica,300,1430,4.8
2019,7,Castilla y León,África,Túnez,590,3030,5.1
2019,7,Cataluńa,América,Argentina,107920,642230,6.0
2019,7,Cataluńa,América,Bahamas,490,1790,3.7
2019,7,Cataluńa,América,Bolivia,2400,15080,6.3
2019,7,Cataluńa,América,Brasil,100020,556140,5.6
2019,7,Cataluńa,América,Canadá,142320,638850,4.5
2019,7,Cataluńa,América,Chile,24120,131470,5.5
2019,7,Cataluńa,América,Colombia,69590,405370,5.8
2019,7,Cataluńa,América,Costa Rica,2290,10940,4.8
2019,7,Cataluńa,América,Cuba,460,2820,6.1
2019,7,Cataluńa,América,Ecuador,9100,51290,5.6
2019,7,Cataluńa,América,El Salvador,1310,8900,6.8
2019,7,Cataluńa,América,Estados Unidos de América,1193540,5751470,4.8
2019,7,Cataluńa,América,Guatemala,2080,11030,5.3
2019,7,Cataluńa,América,Honduras,2400,18560,7.7
2019,7,Cataluńa,América,Jamaica,940,3280,3.5
2019,7,Cataluńa,América,México,101660,588240,5.8
2019,7,Cataluńa,América,Nicaragua,1190,10950,9.2
2019,7,Cataluńa,América,Panamá,3540,22220,6.3
2019,7,Cataluńa,América,Paraguay,2970,18320,6.2
2019,7,Cataluńa,América,Perú,20390,121460,6.0
2019,7,Cataluńa,América,República Dominicana,1610,9840,6.1
2019,7,Cataluńa,América,Trinidad y Tobago,810,3580,4.4
2019,7,Cataluńa,América,Uruguay,13420,102820,7.7
2019,7,Cataluńa,América,Venezuela,7620,58240,7.6
2019,7,Cataluńa,Asia,Arabia Saudí,35280,169670,4.8
2019,7,Cataluńa,Asia,Azerbaiyán,2970,12120,4.1
2019,7,Cataluńa,Asia,Bahréin,1910,7960,4.2
2019,7,Cataluńa,Asia,Bangladesh,370,1410,3.8
2019,7,Cataluńa,Asia,Camboya,370,1230,3.3
2019,7,Cataluńa,Asia,China,220180,1092080,5.0
2019,7,Cataluńa,Asia,Corea,56900,267530,4.7
2019,7,Cataluńa,Asia,Emiratos Árabes Unidos,44360,193400,4.4
2019,7,Cataluńa,Asia,Filipinas,26630,122640,4.6
2019,7,Cataluńa,Asia,India,56720,338900,6.0
2019,7,Cataluńa,Asia,Indonesia,10360,35900,3.5
2019,7,Cataluńa,Asia,Iraq,2000,5990,3.0
2019,7,Cataluńa,Asia,Irán,4170,14540,3.5
2019,7,Cataluńa,Asia,Israel,126100,657200,5.2
2019,7,Cataluńa,Asia,Japón,123700,395500,3.2
2019,7,Cataluńa,Asia,Jordania,3530,13560,3.8
2019,7,Cataluńa,Asia,Kazajstán,16920,78070,4.6
2019,7,Cataluńa,Asia,Kuwait,7320,40150,5.5
2019,7,Cataluńa,Asia,Líbano,19150,77640,4.1
2019,7,Cataluńa,Asia,Malasia,7160,30950,4.3
2019,7,Cataluńa,Asia,Myanmar,350,1040,3.0
2019,7,Cataluńa,Asia,Nepal,570,2660,4.7
2019,7,Cataluńa,Asia,Omán,1670,6540,3.9
2019,7,Cataluńa,Asia,Otros países de Asia,8650,39040,4.5
2019,7,Cataluńa,Asia,Pakistán,7960,46350,5.8
2019,7,Cataluńa,Asia,Qatar,22220,103440,4.7
2019,7,Cataluńa,Asia,Singapur,15100,68480,4.5
2019,7,Cataluńa,Asia,Siria,640,3250,5.1
2019,7,Cataluńa,Asia,Sri Lanka,1350,5100,3.8
2019,7,Cataluńa,Asia,Tailandia,5220,26230,5.0
2019,7,Cataluńa,Asia,Uzbekistán,1140,4950,4.3
2019,7,Cataluńa,Asia,Vietnam,6870,23920,3.5
